,Dataset,Hidden Layer,Learning Rate,Neurons,Dropout,Neighbors,Sampling,G-Means
298,CM1,2.0,0.01,40.0,0.1,9.0,1.0,0.6603345111885843
299,CM1,5.0,0.001,41.0,0.6,10.0,0.2,0.0
300,JM1,4.0,0.007587945476302646,8.0,0.29,12.0,0.4,0.3916814910183985
301,JM1,4.0,0.00641003510568888,2.0,0.13,14.0,0.98,0.6437908735560671
302,JM1,1.0,0.002636424704863906,15.0,0.52,4.0,0.66,0.5883546769164274
303,JM1,2.0,0.006506676052501416,15.0,0.32,3.0,0.55,0.5781149730390707
304,JM1,4.0,0.002797064039425238,30.0,0.33,10.0,0.33,0.3573536981147611
305,JM1,1.0,0.0015854643368675156,48.0,0.4,19.0,0.86,0.6416467301528073
306,JM1,1.0,0.007158097238609413,6.0,0.25,9.0,0.64,0.5958740549873455
307,JM1,4.0,0.0033290198344001526,16.0,0.12,13.0,0.66,0.6195478246231977
308,JM1,1.0,0.009726261649881027,47.0,0.37,15.0,0.93,0.6511076505092167
309,JM1,4.0,0.0017964325184672756,3.0,0.4,4.0,0.52,0.0
310,JM1,2.0,0.008458637582367364,14.0,0.29,7.0,0.68,0.6164325380369693
311,JM1,4.0,0.0016709557931179377,38.0,0.17,19.0,0.43,0.5303290494898849
312,JM1,4.0,0.007361716094628555,38.0,0.1,14.0,0.35,0.4251926709877443
313,JM1,1.0,0.008767930832880343,17.0,0.28,12.0,0.34,0.37106604083670225
314,JM1,2.0,0.007566455605042577,44.0,0.26,13.0,0.63,0.6114652403638475
315,JM1,2.0,0.001,45.0,0.2,17.0,0.29,0.411105981365783
316,JM1,1.0,0.0027701763528274782,48.0,0.1,16.0,0.8,0.6486028647915889
317,JM1,1.0,0.006298629982583435,47.0,0.11,13.0,0.88,0.6505476604326059
318,JM1,2.0,0.01,48.0,0.6,14.0,1.0,0.6517994361739421
319,JM1,1.0,0.01,50.0,0.6,19.0,1.0,0.6505693708814717
320,JM1,2.0,0.0068663953768899775,1.0,0.1,16.0,1.0,0.45825756949558405
321,JM1,1.0,0.01,47.0,0.6,14.0,1.0,0.6502396934162591
322,JM1,3.0,0.0032162222262809522,49.0,0.58,19.0,0.68,0.6076961441358679
323,JM1,3.0,0.01,46.0,0.1,12.0,1.0,0.6488616075426548
324,JM1,1.0,0.01,46.0,0.6,10.0,1.0,0.6470337174977416
325,JM1,3.0,0.01,49.0,0.1,9.0,1.0,0.6516314788875294
